Timestamp,user,system,iowait,Total CPU,iostat read (MB/s),iostat write (MB/s)
12:04,0.12,0.09,0.59,0.8,0.85,3.67
12:05,11.81,3.23,8.11,23.15,114.58,0.29
12:06,1.67,0.65,1.11,3.43,87.42,4.05
12:07,1.04,0.5,1.38,2.92,80.58,0.0
12:08,2.25,1.15,0.67,4.06,29.88,1.77
12:09,1.07,1.27,1.02,3.36,1.55,26.96
12:10,0.38,0.29,5.94,6.61,0.0,202.54
12:11,6.18,2.36,0.42,8.96,0.01,33.23
12:12,7.65,2.58,0.0,10.23,0.0,0.12
12:13,7.17,3.0,1.48,11.64,0.0,65.25
12:14,6.43,2.09,0.0,8.51,0.33,0.02
12:15,6.36,1.93,0.02,8.31,1.76,0.0
12:16,4.87,1.63,1.61,8.11,0.0,142.8
12:17,5.8,1.59,0.0,7.39,0.0,0.0
12:18,4.12,0.98,1.94,7.03,0.0,120.28
12:19,2.41,1.23,1.27,4.91,0.0,115.99
12:20,1.02,0.38,2.86,4.25,0.0,140.58
12:21,2.13,0.4,0.73,3.25,0.0,35.29
12:22,1.48,1.4,1.59,4.46,0.0,37.31
12:23,0.42,0.23,6.09,6.74,0.0,203.04
12:24,1.69,0.84,0.38,2.9,0.12,15.69
12:25,2.79,0.6,0.02,3.42,1.31,0.0
12:26,2.58,0.29,0.0,2.87,0.01,0.0
12:27,2.5,0.46,0.0,2.96,0.0,0.54
12:28,2.79,0.62,0.0,3.41,0.0,0.0
12:29,2.55,0.96,0.25,3.76,0.0,3.68
12:30,0.6,0.75,5.25,6.6,0.0,175.84
12:31,0.31,1.02,5.26,6.59,0.0,150.44
12:32,0.38,0.33,6.09,6.79,0.0,197.91
12:33,1.25,1.32,0.81,3.38,0.0,36.3
12:34,1.46,1.06,0.79,3.31,47.56,0.37
12:35,2.75,1.13,0.21,4.09,22.77,1.09
12:36,0.41,2.68,0.0,3.09,0.17,0.0
12:37,0.44,2.52,1.06,4.02,0.0,129.52
12:38,0.35,2.33,0.0,2.69,0.0,1.18
12:39,0.38,2.4,0.0,2.77,0.0,0.01
12:40,1.46,3.33,0.02,4.8,0.74,0.25
