Timeline,Read(MB)/s,Write(MB)/s
16:10:24,0.000000,0.000000
16:10:25,0.046875,9.218750
16:10:26,0.000000,0.000000
16:10:27,0.000000,0.000000
16:10:28,0.453125,26.992188
16:10:29,0.000000,0.003906
16:10:30,0.000000,0.503906
16:10:31,0.000000,0.156250
16:10:32,0.000000,0.003906
16:10:33,0.000000,0.000000
16:10:34,0.003906,191.292969
16:10:35,0.003906,66.507812
16:10:36,0.000000,0.078125
16:10:37,0.000000,0.000000
16:10:38,0.000000,0.000000
16:10:39,0.562500,0.000000
16:10:40,0.000000,0.000000
16:10:41,0.000000,0.027344
16:10:42,0.000000,0.000000
16:10:43,0.000000,0.000000
16:10:44,0.000000,0.371094
16:10:45,0.000000,0.000000
16:10:46,0.000000,0.050781
16:10:47,0.000000,0.003906
16:10:48,0.000000,0.000000
16:10:49,0.148438,0.000000
16:10:50,0.000000,0.000000
16:10:51,0.000000,0.027344
16:10:52,0.000000,0.000000
16:10:53,0.000000,0.000000
